text,label
"uniswap uni token governance vote passes decentralized exchange community approves fee switch proposal.",DIGITAL_ASSETS
"cosmos atom staking rewards increase network validator economics improve for delegators.",DIGITAL_ASSETS
"near protocol expands ai integration blockchain platform targets artificial intelligence use cases.",DIGITAL_ASSETS
"toncoin ton telegram integration deepens messaging app cryptocurrency sees growing adoption.",DIGITAL_ASSETS
"arbitrum arb airdrop distribution begins layer 2 token launch attracts significant user interest.",DIGITAL_ASSETS
"rbi mpc decides to keep repo rate unchanged at 6.5 percent the monetary policy committee voted 4-2 to maintain the status quo on interest rates while keeping the stance at withdrawal of accommodation.",FINANCE_POLICY
"sebi bars promoter from securities market for 5 years regulator takes action against insider trading violations at listed company.",FINANCE_POLICY
"federal reserve chair powell testifies before congress fed official discusses monetary policy outlook and inflation expectations with lawmakers.",FINANCE_POLICY
"ecb president lagarde warns of sticky inflation european central bank signals more rate hikes may be needed to control prices.",FINANCE_POLICY
"bank of england holds rates at 5.25 percent boe mpc votes 6-3 to maintain current policy stance amid mixed economic signals.",FINANCE_POLICY
"rbi issues guidelines on digital lending apps central bank mandates new rules for fintech platforms offering consumer loans.",FINANCE_POLICY
"sec approves spot bitcoin etf applications us regulator gives green light to cryptocurrency investment products.",FINANCE_POLICY
"cftc files charges against crypto derivatives platform regulator alleges unregistered futures trading operations.",FINANCE_POLICY
"irdai increases fdi limit in insurance sector regulatory change allows higher foreign investment in insurance companies.",FINANCE_POLICY
"sebi introduces t+1 settlement for equity trades market regulator implements faster settlement cycle for stock transactions.",FINANCE_POLICY
"sensex jumps 500 points nifty closes above 22000 indian benchmark indices rally on strong quarterly earnings and foreign inflows.",MARKET_MOVEMENT
"nasdaq drops 2 percent as tech stocks selloff us technology sector faces pressure from rising bond yields.",MARKET_MOVEMENT
"hang seng plunges 3 percent on china property concerns hong kong stocks fall on evergrande debt crisis worries.",MARKET_MOVEMENT
"dax hits record high german stocks rally on export strength european markets gain on positive economic data.",MARKET_MOVEMENT
"ftse 100 falls on mining sector weakness uk stocks decline as commodity prices drop.",MARKET_MOVEMENT
"nikkei 225 surges 2 percent on yen weakness japanese stocks benefit from currency depreciation boosting exporters.",MARKET_MOVEMENT
"shanghai composite drops 1.5 percent china stocks fall on disappointing pmi data.",MARKET_MOVEMENT
"kospi declines on samsung earnings miss korean stocks drop as tech giant reports weak quarterly results.",MARKET_MOVEMENT
"asx 200 gains on iron ore price rally australian stocks rise on strong commodity demand from china.",MARKET_MOVEMENT
"msci emerging markets index falls 2 percent developing market stocks decline on dollar strength.",MARKET_MOVEMENT
"midcap stocks outperform largecaps broader market shows strength as smaller companies rally.",MARKET_MOVEMENT
"bank stocks rally on rate hike expectations financial sector gains on anticipated fed tightening.",MARKET_MOVEMENT
"it stocks tumble on weak guidance technology companies face selling pressure after cautious outlook.",MARKET_MOVEMENT
"auto stocks surge on ev demand automobile sector rallies on electric vehicle sales growth.",MARKET_MOVEMENT
"pharma stocks gain on drug approval healthcare sector rises after fda greenlights new treatment.",MARKET_MOVEMENT
"us announces 25 percent tariffs on chinese goods biden administration escalates trade restrictions on imports from china.",GEO_FINANCIAL
"eu threatens retaliation on us steel tariffs european union warns of countermeasures if american trade barriers remain.",GEO_FINANCIAL
"india raises duties on us agricultural products new delhi responds to washington trade policy changes.",GEO_FINANCIAL
"china restricts rare earth exports to us beijing limits critical mineral supplies amid trade tensions.",GEO_FINANCIAL
"mexico faces tariff threat over immigration us administration considers trade measures linked to border issues.",GEO_FINANCIAL
"rupee falls to 84 per dollar indian currency hits record low as capital outflows accelerate.",GEO_FINANCIAL
"euro drops below parity with dollar single currency weakens on energy crisis concerns.",GEO_FINANCIAL
"yuan depreciation accelerates past 7.3 chinese currency falls to lowest level in years.",GEO_FINANCIAL
"sterling plunges on uk political turmoil british pound faces volatility amid government uncertainty.",GEO_FINANCIAL
"swiss franc surges as safe haven demand spikes investors flock to traditional safe currencies.",GEO_FINANCIAL
"brent crude jumps to 95 per barrel oil prices rally on opec supply cut announcement.",GEO_FINANCIAL
"natural gas prices spike 15 percent on cold weather forecast energy costs surge on winter demand expectations.",GEO_FINANCIAL
"gold hits 2400 per ounce on geopolitical tensions precious metal rallies as safe haven buying increases.",GEO_FINANCIAL
"copper prices fall on china demand concerns base metal drops on weak construction activity.",GEO_FINANCIAL
"wheat prices surge on black sea export disruption grain markets rally on supply chain concerns.",GEO_FINANCIAL
"cpi inflation eases to 4.5 percent in march consumer prices moderate as food costs stabilize.",MACRO_ECONOMIC
"us gdp grows 3.2 percent in q1 economy expands faster than expected on strong consumer spending.",MACRO_ECONOMIC
"china q1 growth comes in at 4.5 percent asian giant posts slower expansion amid property sector drag.",MACRO_ECONOMIC
"germany enters technical recession europe's largest economy contracts for second straight quarter.",MACRO_ECONOMIC
"uk inflation remains sticky at 6.5 percent british prices stay elevated despite bank of england rate hikes.",MACRO_ECONOMIC
"japan core cpi rises to 3.1 percent inflation in japan accelerates to highest level in decades.",MACRO_ECONOMIC
"india gdp growth at 7.2 percent in fy24 indian economy maintains strong momentum on domestic demand.",MACRO_ECONOMIC
"us jobless claims fall to 200000 labor market remains tight as weekly filings stay low.",MACRO_ECONOMIC
"eurozone unemployment drops to 6.5 percent european job market shows resilience despite economic slowdown.",MACRO_ECONOMIC
"china pmi contracts to 49.5 in april manufacturing sector shrinks for second consecutive month.",MACRO_ECONOMIC
"us services pmi expands to 55 services sector shows continued strength as demand holds up.",MACRO_ECONOMIC
"retail sales rise 0.6 percent in march consumer spending exceeds expectations despite inflation.",MACRO_ECONOMIC
"housing starts fall 10 percent on rate impact residential construction slows as mortgage costs rise.",MACRO_ECONOMIC
"industrial production grows 4.5 percent factory output accelerates on strong export orders.",MACRO_ECONOMIC
"consumer confidence index falls to 98 sentiment weakens on inflation and economic uncertainty concerns.",MACRO_ECONOMIC
"bse signs technology partnership with deutsche borse indian exchange collaborates with german counterpart on trading systems.",MARKET_INFRASTRUCTURE
"nse clearing corporation updates margin framework nsccl revises collateral requirements for derivatives trading.",MARKET_INFRASTRUCTURE
"10 year treasury yield rises to 4.5 percent government bond yields climb on inflation expectations.",MARKET_INFRASTRUCTURE
"corporate bond issuance reaches record high companies raise funds through debt markets at accelerated pace.",MARKET_INFRASTRUCTURE
"mcx launches gold options trading commodity exchange introduces new derivatives products.",MARKET_INFRASTRUCTURE
"state development loans auction sees full subscription sdl bonds attract strong investor demand.",MARKET_INFRASTRUCTURE
"nasdaq implements new circuit breaker rules exchange updates trading halt procedures for volatile markets.",MARKET_INFRASTRUCTURE
"municipal bond market grows to 500 billion local government debt issuance expands significantly.",MARKET_INFRASTRUCTURE
"sebi approves t+0 settlement pilot regulator allows same-day settlement for select stocks.",MARKET_INFRASTRUCTURE
"sgx and nse partner on derivative products singapore and indian exchanges collaborate on new offerings.",MARKET_INFRASTRUCTURE
